ID,类别,能力边界,Insight,Global Positions,Wormhole Marks,Auto Stack and Pick Up,ActionQueue RB3,智能小木牌,Beefalo Status Bar,Wildwise,实现及限制,评估,证据,源码链接
F052,信息：农业、角色与世界,天气趋势、雨雪/酸雨和洞穴梦魇周期,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 当前天气值不等于天气预报/洞穴周期。,应补日常可行动信息,"I:descriptors/weather.lua,descriptors/caveweather.lua,descriptors/nightmareclock.lua;W:services/facts.lua",[I:descriptors/weather.lua](/tmp/wildwise-research/insight/scripts/descriptors/weather.lua)；[I:descriptors/caveweather.lua](/tmp/wildwise-research/insight/scripts/descriptors/caveweather.lua)；[I:descriptors/nightmareclock.lua](/tmp/wildwise-research/insight/scripts/descriptors/nightmareclock.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F053,信息：农业、角色与世界,猎犬/Boss 刷新、裂隙/墨荒/兔王/蝙蝠/月冰等专用事件信息,✅,❌,❌,❌,❌,❌,❌,❌,Insight 有独立 world 描述器；Wildwise 通用前 12 个 timer 不能保证覆盖、命名或状态解释。,应分批补公开状态；隐藏信息保持服主许可,"I:descriptors/hounded.lua,descriptors/riftspawner.lua,descriptors/shadowthrallmanager.lua,descriptors/rabbitkingmanager.lua;W:services/facts.lua",[I:descriptors/hounded.lua](/tmp/wildwise-research/insight/scripts/descriptors/hounded.lua)；[I:descriptors/riftspawner.lua](/tmp/wildwise-research/insight/scripts/descriptors/riftspawner.lua)；[I:descriptors/shadowthrallmanager.lua](/tmp/wildwise-research/insight/scripts/descriptors/shadowthrallmanager.lua)；[I:descriptors/rabbitkingmanager.lua](/tmp/wildwise-research/insight/scripts/descriptors/rabbitkingmanager.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F054,信息：农业、角色与世界,危险事件宣告与世界地图 hover 信息,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 无主动危险宣告；地图 hover 只给自己的标记信息。,宣告按需；先做好静态解释,"I:modinfo.lua:danger_announcements,modinfo.lua:show_map_info;W:ui/map.lua",[I:modinfo.lua:danger_announcements](/tmp/wildwise-research/insight/modinfo.lua:4500)；[I:modinfo.lua:show_map_info](/tmp/wildwise-research/insight/modinfo.lua:4458)；[W:ui/map.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/map.lua)
F055,信息：农业、角色与世界,淘气值：玩家计数/阈值及击杀贡献,✅,❌,❌,❌,❌,❌,❌,❌,Insight 借私有闭包/upvalue 适配；Wildwise schema 有 naughtiness，但运行读取器不写该值，故 ❌。,可暂缓；不必为了齐全引入脆弱私有接口,I:descriptors/kramped.lua;W:services/facts.lua,[I:descriptors/kramped.lua](/tmp/wildwise-research/insight/scripts/descriptors/kramped.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F056,信息：农业、角色与世界,淡水/海钓鱼量、鱼竿/浮标/鱼饵参数、海网进度,✅,❌,❌,❌,❌,❌,❌,❌,Insight fishable/fishingrod/oceanfishingrod/oceanfishingtackle/oceantrawler；Wildwise 无专用字段。,海钓用户按需，常用海网进度可先补,I:descriptors;W:services/facts.lua,[I:descriptors](/tmp/wildwise-research/insight/scripts/descriptors)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F057,信息：农业、角色与世界,交易价值、蚁狮安抚、修建投入、船体/桅杆等专属参数,✅,❌,❌,❌,❌,❌,❌,❌,Insight tradable/appeasement/constructionsite/boathealth/mast；Wildwise 不提供对应专用详情。,交易/修建/船体常用项按需补,I:descriptors;W:services/facts.lua,[I:descriptors](/tmp/wildwise-research/insight/scripts/descriptors)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F058,信息：农业、角色与世界,节庆玩法：鸦年华、牛年选美/评估、龙舟奖励等,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 无节庆专属描述器。,可暂缓,"I:descriptors/carnivaldecor.lua,descriptors/yotb_stager.lua,descriptors/yotd_raceprizemanager.lua;W:services/facts.lua",[I:descriptors/carnivaldecor.lua](/tmp/wildwise-research/insight/scripts/descriptors/carnivaldecor.lua)；[I:descriptors/yotb_stager.lua](/tmp/wildwise-research/insight/scripts/descriptors/yotb_stager.lua)；[I:descriptors/yotd_raceprizemanager.lua](/tmp/wildwise-research/insight/scripts/descriptors/yotd_raceprizemanager.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F059,信息：农业、角色与世界,DS 单机 RoG/SW/Hamlet 专用信息,✅,❌,❌,❌,❌,❌,❌,❌,Insight 同源支持单机分支；本次 DST 需求不要求 Wildwise 实现火山/海妖/大灾变等单机机制。,可忽略，排除于 DST 缺口,"I:modinfo.lua,descriptors/aporkalypse.lua,descriptors/volcanomanager.lua;W:modinfo.lua",[I:modinfo.lua](/tmp/wildwise-research/insight/modinfo.lua)；[I:descriptors/aporkalypse.lua](/tmp/wildwise-research/insight/scripts/descriptors/aporkalypse.lua)；[I:descriptors/volcanomanager.lua](/tmp/wildwise-research/insight/scripts/descriptors/volcanomanager.lua)；[W:modinfo.lua](/usr/local/src/Wildwise/modinfo.lua)
F060,信息：定位与范围,允许范围内查询箱子和一层包裹内容,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 服主默认禁用；容器最多看前 80 格、包裹前 40 条，文本有总预算。,应补本地化/明确截断和个人包裹选择,"I:descriptors/container.lua,descriptors/unwrappable.lua;W:services/facts.lua",[I:descriptors/container.lua](/tmp/wildwise-research/insight/scripts/descriptors/container.lua)；[I:descriptors/unwrappable.lua](/tmp/wildwise-research/insight/scripts/descriptors/unwrappable.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F061,信息：定位与范围,普通/口袋容器及一层包裹同类定位,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise 用上次 hover 的 prefab 手动查询；按观察权限/距离/所有权，返回短时文字标记。,保持并验证私有容器边界,"I:descriptors/container_proxy.lua;W:services/containers.lua,components/wildwise_world.lua,ui/hud.lua",[I:descriptors/container_proxy.lua](/tmp/wildwise-research/insight/scripts/descriptors/container_proxy.lua)；[W:services/containers.lua](/usr/local/src/Wildwise/scripts/wildwise/services/containers.lua)；[W:components/wildwise_world.lua](/usr/local/src/Wildwise/scripts/components/wildwise_world.lua)；[W:ui/hud.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/hud.lua)
F062,信息：定位与范围,手持物品/配方材料触发自动高亮,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 需要进物品页点击定位，不提供配方联动和自动材质高亮。,应补，减少操作成本,"I:modinfo.lua:highlighting;W:ui/menu.lua,ui/hud.lua",[I:modinfo.lua:highlighting](/tmp/wildwise-research/insight/modinfo.lua:1466)；[W:ui/menu.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/menu.lua)；[W:ui/hud.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/hud.lua)
F063,信息：定位与范围,可补充燃料对象高亮,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 只有燃料信息和 ADDFUEL 动作，无燃料目标高亮。,按需补,I:modinfo.lua:fuel_highlighting;W:ui/hud.lua,[I:modinfo.lua:fuel_highlighting](/tmp/wildwise-research/insight/modinfo.lua:1774)；[W:ui/hud.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/hud.lua)
F064,信息：定位与范围,数值型怪物攻击距离,✅,❌,❌,❌,❌,❌,❌,✅,Wildwise info_attack_range 默认 false，只读 combat.attackrange。,保持；不标成范围圈,I:descriptors/combat.lua;W:services/facts.lua,[I:descriptors/combat.lua](/tmp/wildwise-research/insight/scripts/descriptors/combat.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F065,信息：定位与范围,攻击/命中范围圈及两者区分,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 未生成范围指示实体。,应补经许可的范围圈,"I:modinfo.lua:attack_range_type,prefabs/insight_range_indicator.lua;W:ui/hud.lua",[I:modinfo.lua:attack_range_type](/tmp/wildwise-research/insight/modinfo.lua:2043)；[I:prefabs/insight_range_indicator.lua](/tmp/wildwise-research/insight/scripts/prefabs/insight_range_indicator.lua)；[W:ui/hud.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/hud.lua)
F066,信息：定位与范围,避雷针/灭火器/陷阱/爆炸等设施作用范围,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 攻击范围字段不能代替设施范围。,应补建家常用设施,"I:descriptors/lightningblocker.lua,prefab_descriptors/firesuppressor.lua,descriptors/trap.lua;W:services/facts.lua",[I:descriptors/lightningblocker.lua](/tmp/wildwise-research/insight/scripts/descriptors/lightningblocker.lua)；[I:prefab_descriptors/firesuppressor.lua](/tmp/wildwise-research/insight/scripts/prefab_descriptors/firesuppressor.lua)；[I:descriptors/trap.lua](/tmp/wildwise-research/insight/scripts/descriptors/trap.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F067,信息：定位与范围,闪现/灵魂/战歌/书籍/角色装备范围,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 无角色技能范围适配。,按需补,"I:modinfo.lua,descriptors/book.lua;W:services/facts.lua",[I:modinfo.lua](/tmp/wildwise-research/insight/modinfo.lua)；[I:descriptors/book.lua](/tmp/wildwise-research/insight/scripts/descriptors/book.lua)；[W:services/facts.lua](/usr/local/src/Wildwise/scripts/wildwise/services/facts.lua)
F068,信息：定位与范围,Boss/小 Boss/重要物品/脚印/漂流瓶/玩具/死亡点指示,✅,❌,❌,❌,❌,❌,❌,❌,Wildwise 队友指示不包含上述追踪；参考可按种类甚至 prefab 多选。,已发现死亡点/重要目标按需；隐藏目标追踪可忽略,"I:modinfo.lua;W:ui/hud.lua,ui/map.lua",[I:modinfo.lua](/tmp/wildwise-research/insight/modinfo.lua)；[W:ui/hud.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/hud.lua)；[W:ui/map.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/map.lua)
F069,地图协作与虫洞,同 shard 队友地图位置和名称,❌,✅,❌,❌,❌,❌,❌,✅,Global Positions 有角色图标；Wildwise 统一光标图案+姓名。,保持并提升辨识度,G:modmain.lua;W:ui/map.lua,[G:modmain.lua](/tmp/wildwise-research/global-positions/modmain.lua)；[W:ui/map.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/map.lua)
F070,地图协作与虫洞,原版角色头像/皮肤头像的地图与屏边提示,❌,✅,❌,❌,❌,❌,❌,❌,Wildwise 地图是统一图标，屏边是姓名文字，没有角色肖像。,按可读性需要补,"G:modmain.lua;W:ui/map.lua,ui/hud.lua",[G:modmain.lua](/tmp/wildwise-research/global-positions/modmain.lua)；[W:ui/map.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/map.lua)；[W:ui/hud.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/hud.lua)
F071,地图协作与虫洞,队友屏边指示：始终/记分板/关闭,❌,✅,❌,❌,❌,❌,❌,✅,Wildwise 只显示同世界、屏幕外、未屏蔽队友。,保持,G:modinfo.lua;W:ui/hud.lua,[G:modinfo.lua](/tmp/wildwise-research/global-positions/modinfo.lua)；[W:ui/hud.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/hud.lua)
F072,地图协作与虫洞,位置分享 opt-out,❌,✅,❌,❌,❌,❌,❌,✅,GP 在记分板切换；Wildwise 在 F7 地图页。,保持，记分板入口按需,G:modmain.lua;W:ui/menu.lua,[G:modmain.lua](/tmp/wildwise-research/global-positions/modmain.lua)；[W:ui/menu.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/menu.lua)
F073,地图协作与虫洞,共享获准探索及保存,❌,✅,❌,❌,❌,❌,❌,✅,"GP 独立 MapExplorer/主机适配；Wildwise 来源点日志，最多 65,536 点，分批 RevealArea。",应补多人/主机/洞穴实际验收,"G:prefabs/worldmapexplorer.lua;W:services/map.lua,components/wildwise_world.lua",[G:prefabs/worldmapexplorer.lua](/tmp/wildwise-research/global-positions/scripts/prefabs/worldmapexplorer.lua)；[W:services/map.lua](/usr/local/src/Wildwise/scripts/wildwise/services/map.lua)；[W:components/wildwise_world.lua](/usr/local/src/Wildwise/scripts/components/wildwise_world.lua)
F074,地图协作与虫洞,位置分享与探索分享分别 opt-out,❌,❌,❌,❌,❌,❌,❌,✅,GP 联动 sharing 状态；Wildwise 两个个人设置，服主分别 auto/on/off。,保留独立权限,"G:modmain.lua;W:core/config.lua,services/map.lua",[G:modmain.lua](/tmp/wildwise-research/global-positions/modmain.lua)；[W:core/config.lua](/usr/local/src/Wildwise/scripts/wildwise/core/config.lua)；[W:services/map.lua](/usr/local/src/Wildwise/scripts/wildwise/services/map.lua)
F075,地图协作与虫洞,本地主机地图整幅拷贝给新加入者,❌,✅,❌,❌,❌,❌,❌,❌,GP 非专服直接 RecordMap 本地主机并 LearnRecordedMap 给加入者；专服改用共享副本。Wildwise 只回放获准来源点，不拷贝主机完整地图。,Wildwise 可保持不回填个人私图,G:modmain.lua;W:services/map.lua,[G:modmain.lua](/tmp/wildwise-research/global-positions/modmain.lua)；[W:services/map.lua](/usr/local/src/Wildwise/scripts/wildwise/services/map.lua)
F076,地图协作与虫洞,撤回队友已经学到的地形,❌,❌,❌,❌,❌,❌,❌,❌,Wildwise 与参考都没有可靠的已学地图撤回；关闭只影响后续共享。,可忽略，不作撤回承诺,G:prefabs/worldmapexplorer.lua;W:services/map.lua,[G:prefabs/worldmapexplorer.lua](/tmp/wildwise-research/global-positions/scripts/prefabs/worldmapexplorer.lua)；[W:services/map.lua](/usr/local/src/Wildwise/scripts/wildwise/services/map.lua)
F077,地图协作与虫洞,荒野模式限制位置分享,❌,✅,❌,❌,❌,❌,❌,✅,Wildwise auto 在荒野或 PvP 关闭；GP 荒野预设还有全火堆冒烟逻辑。,保留 Wildwise 默认,G:modmain.lua;W:core/config.lua,[G:modmain.lua](/tmp/wildwise-research/global-positions/modmain.lua)；[W:core/config.lua](/usr/local/src/Wildwise/scripts/wildwise/core/config.lua)
F078,地图协作与虫洞,PvP 自动关闭位置/探索分享,❌,❌,❌,❌,❌,❌,❌,✅,Wildwise 显式检查 pvp；GP 快照的模式特殊处理针对 wilderness。,保留,G:modmain.lua;W:core/config.lua,[G:modmain.lua](/tmp/wildwise-research/global-positions/modmain.lua)；[W:core/config.lua](/usr/local/src/Wildwise/scripts/wildwise/core/config.lua)
F079,地图协作与虫洞,木炭触发营火/火坑信号,❌,✅,❌,❌,❌,❌,❌,✅,GP 木炭时长按热值累加至最多360秒；Wildwise 喂木炭后保留信号直到燃料耗尽，且额外支持冷火/冷火坑。,应补独立开关,G:modmain.lua;W:runtime/bootstrap.lua,[G:modmain.lua](/tmp/wildwise-research/global-positions/modmain.lua)；[W:runtime/bootstrap.lua](/usr/local/src/Wildwise/scripts/wildwise/runtime/bootstrap.lua)
F080,地图协作与虫洞,所有点燃火堆都作为信号/关闭全部信号,❌,✅,❌,❌,❌,❌,❌,❌,GP FIREOPTIONS 三态；Wildwise 固定木炭规则。,关闭开关应补；全部点燃模式按需,G:modinfo.lua;W:runtime/bootstrap.lua,[G:modinfo.lua](/tmp/wildwise-research/global-positions/modinfo.lua)；[W:runtime/bootstrap.lua](/usr/local/src/Wildwise/scripts/wildwise/runtime/bootstrap.lua)
F081,地图协作与虫洞,信号火屏边指示及烟雾特效,❌,✅,❌,❌,❌,❌,❌,❌,Wildwise 仅地图 fire 标记；update_indicators 只遍历队友。,屏边提示按需；烟雾可忽略,"G:components/smokeemitter.lua;W:ui/hud.lua,ui/map.lua",[G:components/smokeemitter.lua](/tmp/wildwise-research/global-positions/scripts/components/smokeemitter.lua)；[W:ui/hud.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/hud.lua)；[W:ui/map.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/map.lua)
F082,地图协作与虫洞,Alt+地图点击创建临时标记,❌,✅,❌,❌,❌,❌,❌,✅,GP 轮盘即时选类型；Wildwise 使用预先在 F7 选择的类型。,应补地图内快速选类型,"G:modmain.lua;W:ui/map.lua,ui/menu.lua",[G:modmain.lua](/tmp/wildwise-research/global-positions/modmain.lua)；[W:ui/map.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/map.lua)；[W:ui/menu.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/menu.lua)
F083,地图协作与虫洞,标记语义类型,❌,✅,❌,❌,❌,❌,❌,✅,GP generic/omw/danger/explore/gohere 五种；Wildwise location/danger/resource/rally 四种，非逐一等价。,补在路上/探索等按需，保留资源类型,G:prefabs/pings.lua;W:services/map.lua,[G:prefabs/pings.lua](/tmp/wildwise-research/global-positions/scripts/prefabs/pings.lua)；[W:services/map.lua](/usr/local/src/Wildwise/scripts/wildwise/services/map.lua)
F084,地图协作与虫洞,标记轮盘、取消/就近删除,❌,✅,❌,❌,❌,❌,❌,❌,Wildwise 只有菜单清除自己的所有标记；服务器有按 ID 删除接口，无地图就近删除入口。,应补地图内编辑入口,"G:widgets/pingwheel.lua,modmain.lua;W:ui/menu.lua,services/map.lua",[G:widgets/pingwheel.lua](/tmp/wildwise-research/global-positions/scripts/widgets/pingwheel.lua)；[G:modmain.lua](/tmp/wildwise-research/global-positions/modmain.lua)；[W:ui/menu.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/menu.lua)；[W:services/map.lua](/usr/local/src/Wildwise/scripts/wildwise/services/map.lua)
F085,地图协作与虫洞,临时标记过期,❌,✅,❌,❌,❌,❌,❌,✅,GP 固定一个游戏日 TOTAL_DAY_TIME；Wildwise 固定 60 秒，没有 TTL 选项。,应补服主可控时长/个数，保留上限,G:prefabs/pings.lua;W:services/map.lua,[G:prefabs/pings.lua](/tmp/wildwise-research/global-positions/scripts/prefabs/pings.lua)；[W:services/map.lua](/usr/local/src/Wildwise/scripts/wildwise/services/map.lua)
F086,地图协作与虫洞,每人标记数量限制及归属删除权限,❌,❌,❌,❌,❌,❌,❌,✅,Wildwise 每人 5 个、只删自己的，管理员可清全场；GP 删除/清理未做同等归属限制。,保持,G:modmain.lua:ReceivePing;W:services/map.lua,[G:modmain.lua:ReceivePing](/tmp/wildwise-research/global-positions/modmain.lua:594)；[W:services/map.lua](/usr/local/src/Wildwise/scripts/wildwise/services/map.lua)
F087,地图协作与虫洞,屏蔽玩家后隐藏其标记,❌,✅,❌,❌,❌,❌,❌,✅,Wildwise 使用原版 muted 状态，也隐藏其队友位置。,保持并做联机验收,"G:modmain.lua;W:ui/map.lua,ui/hud.lua",[G:modmain.lua](/tmp/wildwise-research/global-positions/modmain.lua)；[W:ui/map.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/map.lua)；[W:ui/hud.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/hud.lua)
F088,地图协作与虫洞,手柄创建地图标记,❌,✅,❌,❌,❌,❌,❌,❌,GP 有右摇杆/控制器路径；Wildwise 地图标记入口要求左 Alt+主操作。,若覆盖手柄用户则必须补，否则明确暂不支持,G:modmain.lua;W:ui/map.lua,[G:modmain.lua](/tmp/wildwise-research/global-positions/modmain.lua)；[W:ui/map.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/map.lua)
F089,地图协作与虫洞,跨 shard 队友身份/所在 shard 提示,❌,❌,❌,❌,❌,❌,❌,✅,Wildwise 只交换 userid/name/prefab/shard，无远端精确坐标和地图合并；Master/Caves 真实往返待验收。,先验收已有设计,"W:components/wildwise_world.lua,ui/menu.lua",[W:components/wildwise_world.lua](/usr/local/src/Wildwise/scripts/components/wildwise_world.lua)；[W:ui/menu.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/menu.lua)
F090,地图协作与虫洞,跨 shard 精确位置/地形合并,❌,❌,❌,❌,❌,❌,❌,❌,本组两个地图方案都不能据当前代码称为完整跨 shard 地图合并。,可暂缓,G:modmain.lua;W:components/wildwise_world.lua,[G:modmain.lua](/tmp/wildwise-research/global-positions/modmain.lua)；[W:components/wildwise_world.lua](/usr/local/src/Wildwise/scripts/components/wildwise_world.lua)
F091,地图协作与虫洞,实际穿越后的同世界虫洞配对,❌,❌,✅,❌,❌,❌,❌,✅,Wormhole Marks starttravelsound；Wildwise 包装 Activate 并核验双向连接，保存稳定编号。,保持并验收真实穿越,"H:modmain.lua;W:runtime/bootstrap.lua,services/map.lua",[H:modmain.lua](/tmp/wildwise-research/wormhole/modmain.lua)；[W:runtime/bootstrap.lua](/usr/local/src/Wildwise/scripts/wildwise/runtime/bootstrap.lua)；[W:services/map.lua](/usr/local/src/Wildwise/scripts/wildwise/services/map.lua)
F092,地图协作与虫洞,虫洞颜色/编号辨认,❌,❌,✅,❌,❌,❌,❌,✅,参考 22 对独立彩色图标；Wildwise 编号+6 色循环，不是 22 种独立颜色。,保持编号；图形外观按需,H:modmain.lua;W:ui/map.lua,[H:modmain.lua](/tmp/wildwise-research/wormhole/modmain.lua)；[W:ui/map.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/map.lua)
F093,地图协作与虫洞,虫洞逐端遵守迷雾,❌,❌,✅,❌,❌,❌,❌,✅,参考默认 FoW，不独立实现私人发现账本；Wildwise 即使配对已知仍逐端 CanSeePointOnMiniMap。,保持,"H:modinfo.lua,scripts/components/wormhole_marks.lua;W:ui/map.lua",[H:modinfo.lua](/tmp/wildwise-research/wormhole/modinfo.lua)；[H:scripts/components/wormhole_marks.lua](/tmp/wildwise-research/wormhole/scripts/components/wormhole_marks.lua)；[W:ui/map.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/map.lua)
F094,地图协作与虫洞,虫洞图标覆盖迷雾/向未探索者公开,❌,❌,✅,❌,❌,❌,❌,❌,参考 Draw over FoW；Wildwise 固定禁止该显示路径。,可忽略,"H:modinfo.lua,scripts/components/wormhole_marks.lua;W:ui/map.lua",[H:modinfo.lua](/tmp/wildwise-research/wormhole/modinfo.lua)；[H:scripts/components/wormhole_marks.lua](/tmp/wildwise-research/wormhole/scripts/components/wormhole_marks.lua)；[W:ui/map.lua](/usr/local/src/Wildwise/scripts/wildwise/ui/map.lua)
F095,地图协作与虫洞,巨型触手/有限虫洞同世界配对入口,❌,❌,❌,❌,❌,❌,❌,✅,Wildwise 注册 tentacle_pillar、wormhole_limited_1；仍要求有效双向 targetTeleporter，不保证所有特殊连接都通过。,先验证，不扩大承诺,H:modmain.lua;W:runtime/bootstrap.lua,[H:modmain.lua](/tmp/wildwise-research/wormhole/modmain.lua)；[W:runtime/bootstrap.lua](/usr/local/src/Wildwise/scripts/wildwise/runtime/bootstrap.lua)
F096,地图协作与虫洞,地面洞穴入口/出口跨 shard 编号着色和迁移信息,✅,❌,❌,❌,❌,❌,❌,❌,Insight sinkhole_marks/worldmigrator；Wildwise 跨 shard 队友提示不等于入口出口配对。,应补已发现入口匹配，依赖双 shard 验收,"I:prefab_descriptors/cave_entrance.lua,descriptors/worldmigrator.lua;W:runtime/bootstrap.lua",[I:prefab_descriptors/cave_entrance.lua](/tmp/wildwise-research/insight/scripts/prefab_descriptors/cave_entrance.lua)；[I:descriptors/worldmigrator.lua](/tmp/wildwise-research/insight/scripts/descriptors/worldmigrator.lua)；[W:runtime/bootstrap.lua](/usr/local/src/Wildwise/scripts/wildwise/runtime/bootstrap.lua)
F097,地图协作与虫洞,第三方实体注册全局位置/图标接口,❌,✅,❌,❌,❌,❌,❌,❌,GP globalposition 组件及公开图标表；Wildwise 未提供对应公开 API。,具体扩展需求出现后补,G:modmain.lua;W:components/wildwise_world.lua,[G:modmain.lua](/tmp/wildwise-research/global-positions/modmain.lua)；[W:components/wildwise_world.lua](/usr/local/src/Wildwise/scripts/components/wildwise_world.lua)
F098,自动合堆与拾取,新世界掉落自动合堆,❌,❌,❌,✅,❌,❌,❌,✅,两者均可开关；Wildwise 只处理有已知来源的物体，等待实际落地。,保持并补特殊来源验收,"A:modmain.lua;W:services/items.lua,runtime/items.lua",[A:modmain.lua](/home/ubuntu/Steam/steamapps/workshop/content/322330/1803285852/modmain.lua)；[W:services/items.lua](/usr/local/src/Wildwise/scripts/wildwise/services/items.lua)；[W:runtime/items.lua](/usr/local/src/Wildwise/scripts/wildwise/runtime/items.lua)
F099,自动合堆与拾取,玩家主动丢弃自动合堆,❌,❌,❌,✅,❌,❌,❌,✅,两者默认关闭；Wildwise 同时保护被禁来源的合并目标。,保持,A:modmain.lua;W:services/items.lua,[A:modmain.lua](/home/ubuntu/Steam/steamapps/workshop/content/322330/1803285852/modmain.lua)；[W:services/items.lua](/usr/local/src/Wildwise/scripts/wildwise/services/items.lua)
F100,自动合堆与拾取,读档地面物品合堆开关,❌,❌,❌,✅,❌,❌,❌,✅,参考 StackDuringPopulation 同时涉及生成；Wildwise items_stack_loaded 单独识别恢复。,保持默认关闭,A:modmain.lua;W:runtime/items.lua,[A:modmain.lua](/home/ubuntu/Steam/steamapps/workshop/content/322330/1803285852/modmain.lua)；[W:runtime/items.lua](/usr/local/src/Wildwise/scripts/wildwise/runtime/items.lua)
F101,自动合堆与拾取,世界首次生成摆设自动合堆开关,❌,❌,❌,✅,❌,❌,❌,❌,Wildwise 没有与参考等价的 worldgen 合堆许可；不把读档开关算生成支持。,可忽略生成改写,A:modmain.lua;W:runtime/items.lua,[A:modmain.lua](/home/ubuntu/Steam/steamapps/workshop/content/322330/1803285852/modmain.lua)；[W:runtime/items.lua](/usr/local/src/Wildwise/scripts/wildwise/runtime/items.lua)
F102,自动合堆与拾取,世界/手丢/拾取三套独立半径,❌,❌,❌,✅,❌,❌,❌,❌,Wildwise 共用 items_radius 2/4/6/8，参考分别 1～25。,应补,A:modinfo.lua;W:core/config.lua,[A:modinfo.lua](/home/ubuntu/Steam/steamapps/workshop/content/322330/1803285852/modinfo.lua)；[W:core/config.lua](/usr/local/src/Wildwise/scripts/wildwise/core/config.lua)
F103,自动合堆与拾取,向现有堆合并,❌,❌,❌,✅,❌,❌,❌,✅,Wildwise 固定选择更早合法堆，并使用原生 Put。,保持,A:modmain.lua;W:services/items.lua,[A:modmain.lua](/home/ubuntu/Steam/steamapps/workshop/content/322330/1803285852/modmain.lua)；[W:services/items.lua](/usr/local/src/Wildwise/scripts/wildwise/services/items.lua)
F104,自动合堆与拾取,向最新落地点聚拢附近堆,❌,❌,❌,✅,❌,❌,❌,❌,Wildwise 不提供 Newest 方向。,可忽略，避免物品跟着新掉落移动,A:modmain.lua;W:services/items.lua,[A:modmain.lua](/home/ubuntu/Steam/steamapps/workshop/content/322330/1803285852/modmain.lua)；[W:services/items.lua](/usr/local/src/Wildwise/scripts/wildwise/services/items.lua)
F105,自动合堆与拾取,灰烬/粪便/种子分来源过滤,❌,❌,❌,✅,❌,❌,❌,❌,Wildwise 默认没有这些独立白黑名单；开世界合堆时满足条件就处理。,应补,"A:modinfo.lua,modmain.lua;W:services/items.lua",[A:modinfo.lua](/home/ubuntu/Steam/steamapps/workshop/content/322330/1803285852/modinfo.lua)；[A:modmain.lua](/home/ubuntu/Steam/steamapps/workshop/content/322330/1803285852/modmain.lua)；[W:services/items.lua](/usr/local/src/Wildwise/scripts/wildwise/services/items.lua)
F106,自动合堆与拾取,树枝树掉落枝条特殊保护,❌,❌,❌,✅,❌,❌,❌,❌,参考可跳过附近 twiggy 树的枝条；Wildwise 无此判断，可能改变自动生产的地面堆计数条件，未实机复现。,应优先验证并补边界,A:modmain.lua;W:services/items.lua,[A:modmain.lua](/home/ubuntu/Steam/steamapps/workshop/content/322330/1803285852/modmain.lua)；[W:services/items.lua](/usr/local/src/Wildwise/scripts/wildwise/services/items.lua)
