模组,键,说明,默认值,可选值,枚举原文及含义,client原始字段,原始tags,权限,参考配置支持,Wildwise 对应配置,Wildwise 边界,评估,源码,源码定位
Insight,display_gyminfo,健身房信息,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示与健身房有关的信息"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示与健身房有关的信息"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""dst_only"", ""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_gyminfo](/tmp/wildwise-research/insight/modinfo.lua:7439)
Insight,display_world_events,世界事件,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示世界事件。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示世界事件。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""dst_only"", ""undefined""]",服主指定；undefined 时由个人选择,✅,✅,info_world_events；只读前 12 个 worldsettingstimer，不等于参考的语义事件集合。,优先完善内容及逐类开关,/tmp/wildwise-research/insight/modinfo.lua,[display_world_events](/tmp/wildwise-research/insight/modinfo.lua:7448)
Insight,show_map_info,地图信息,undefined；个人未另选时的回退值 false,false / true / undefined,"[{""hover"": ""不显示与世界地图相关的信息。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示与世界地图相关的信息。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：否"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""dst_only"", ""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[show_map_info](/tmp/wildwise-research/insight/modinfo.lua:7457)
Insight,danger_announcements,危险宣告,undefined；个人未另选时的回退值 false,false / true / undefined,"[{""hover"": ""禁用危险宣告。"", ""description"": ""否"", ""data"": false}, {""hover"": ""启用危险宣告。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：否"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""dst_only"", ""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[danger_announcements](/tmp/wildwise-research/insight/modinfo.lua:7466)
Insight,display_shadowthrall_information,墨荒信息,undefined；个人未另选时的回退值 1,0 / 1 / 2 / undefined,"[{""hover"": ""不显示任何墨荒信息。"", ""description"": ""无"", ""data"": 0}, {""hover"": ""仅显示常规墨荒信息。"", ""description"": ""世界级"", ""data"": 1}, {""hover"": ""显示所有墨荒信息"", ""description"": ""全部"", ""data"": 2}, {""hover"": ""默认为：世界级"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_shadowthrall_information](/tmp/wildwise-research/insight/modinfo.lua:7475)
Insight,display_batwave_information,蝙蝠袭击信息,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示蝙蝠袭击信息。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示蝙蝠袭击信息。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_batwave_information](/tmp/wildwise-research/insight/modinfo.lua:7485)
Insight,display_itemmimic_information,模拟物品信息,undefined；个人未另选时的回退值 0,0 / 1 / 2 / undefined,"[{""hover"": ""不显示任何模拟物品信息。"", ""description"": ""无"", ""data"": 0}, {""hover"": ""仅显示模拟物品常规信息（例如世界上有多少个）"", ""description"": ""世界级"", ""data"": 1}, {""hover"": ""显示所有模拟物品信息（包括哪些物品是模拟的）。"", ""description"": ""全部"", ""data"": 2}, {""hover"": ""默认为：无"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_itemmimic_information](/tmp/wildwise-research/insight/modinfo.lua:7494)
Insight,display_rabbitking_information,兔王信息,undefined；个人未另选时的回退值 false,false / true / undefined,"[{""hover"": ""不显示兔王信息。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示兔王信息。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：否"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""dst_only"", ""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_rabbitking_information](/tmp/wildwise-research/insight/modinfo.lua:7504)
Insight,display_weather,天气信息,undefined；个人未另选时的回退值 2,0 / 1 / 2 / undefined,"[{""hover"": ""不显示天气信息"", ""description"": ""否"", ""data"": 0}, {""hover"": ""如果世界中存在雨量计时显示天气信息。"", ""description"": ""存在雨量计"", ""data"": 1}, {""hover"": ""显示天气信息"", ""description"": ""是"", ""data"": 2}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""dst_only"", ""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_weather](/tmp/wildwise-research/insight/modinfo.lua:7513)
Insight,weather_detail,天气明细,undefined；个人未另选时的回退值 0,0 / 1 / undefined,"[{""hover"": ""显示正常的细节级别"", ""description"": ""标准"", ""data"": 0}, {""hover"": ""显示有关天气状况的具体数字"", ""description"": ""高级"", ""data"": 1}, {""hover"": ""默认为：标准"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""dst_only"", ""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[weather_detail](/tmp/wildwise-research/insight/modinfo.lua:7523)
Insight,nightmareclock_display,洞穴暴动阶段,undefined；个人未另选时的回退值 2,0 / 1 / 2 / undefined,"[{""hover"": ""不显示洞穴暴动的阶段信息。"", ""description"": ""禁用"", ""data"": 0}, {""hover"": ""拥有铥矿勋章时显示。"", ""description"": ""拥有铥矿勋章"", ""data"": 1}, {""hover"": ""总是显示暴动阶段的信息。"", ""description"": ""启用"", ""data"": 2}, {""hover"": ""默认为：启用"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[nightmareclock_display](/tmp/wildwise-research/insight/modinfo.lua:7532)
Insight,wx78_scanner_info,WX-78 扫描信息,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示扫描信息"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示扫描信息"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""dst_only"", ""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[wx78_scanner_info](/tmp/wildwise-research/insight/modinfo.lua:7542)
Insight,display_health,生命值,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示生命值信息。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示生命值信息。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,有部分对应信息，但仅按大类或密度预设控制；没有此字段的独立开关/详细度/资格条件。,应补常用项独立设置,/tmp/wildwise-research/insight/modinfo.lua,[display_health](/tmp/wildwise-research/insight/modinfo.lua:7551)
Insight,display_hunger,饥饿值,undefined；个人未另选时的回退值 1,0 / 1 / 2 / undefined,"[{""hover"": ""不显示饥饿值。"", ""description"": ""否"", ""data"": 0}, {""hover"": ""显示标准的饥饿值。"", ""description"": ""标准"", ""data"": 1}, {""hover"": ""显示完整物品的饥饿值。"", ""description"": ""完整"", ""data"": 2}, {""hover"": ""默认为：标准"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_hunger](/tmp/wildwise-research/insight/modinfo.lua:7560)
Insight,display_sanity,理智,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示理智信息"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示理智信息"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_sanity](/tmp/wildwise-research/insight/modinfo.lua:7570)
Insight,display_sanityaura,理智光环,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示理智光环。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示理智光环。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_sanityaura](/tmp/wildwise-research/insight/modinfo.lua:7579)
Insight,display_sanity_interactions,影响理智交互显示,undefined；个人未另选时的回退值 false,false / true / undefined,"[{""hover"": ""不显示影响理智的交互。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示影响理智的交互。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：否"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_sanity_interactions](/tmp/wildwise-research/insight/modinfo.lua:7588)
Insight,display_mob_attack_damage,怪物攻击范围,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示怪物的攻击范围。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示怪物的攻击范围。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,有部分对应信息，但仅按大类或密度预设控制；没有此字段的独立开关/详细度/资格条件。,应补常用项独立设置,/tmp/wildwise-research/insight/modinfo.lua,[display_mob_attack_damage](/tmp/wildwise-research/insight/modinfo.lua:7597)
Insight,growth_verbosity,植物生长阶段,undefined；个人未另选时的回退值 1,0 / 1 / 2 / undefined,"[{""hover"": ""不显示会生长的物品的信息。"", ""description"": ""无"", ""data"": 0}, {""hover"": ""仅显示生长到下一阶段所需的时间。"", ""description"": ""简短"", ""data"": 1}, {""hover"": ""显示当前阶段名称，阶段的数字，长到下一阶段所需的时间。"", ""description"": ""详细"", ""data"": 2}, {""hover"": ""默认为：简短"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,有部分对应信息，但仅按大类或密度预设控制；没有此字段的独立开关/详细度/资格条件。,应补常用项独立设置,/tmp/wildwise-research/insight/modinfo.lua,[growth_verbosity](/tmp/wildwise-research/insight/modinfo.lua:7606)
Insight,display_pickable,可采集信息,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示可采集信息。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示可采集信息。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,有部分对应信息，但仅按大类或密度预设控制；没有此字段的独立开关/详细度/资格条件。,应补常用项独立设置,/tmp/wildwise-research/insight/modinfo.lua,[display_pickable](/tmp/wildwise-research/insight/modinfo.lua:7616)
Insight,display_harvestable,可收获信息,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示可收获信息。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示可收获信息。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,有部分对应信息，但仅按大类或密度预设控制；没有此字段的独立开关/详细度/资格条件。,应补常用项独立设置,/tmp/wildwise-research/insight/modinfo.lua,[display_harvestable](/tmp/wildwise-research/insight/modinfo.lua:7625)
Insight,display_finiteuses,工具耐久度,true,false / true,"[{""hover"": ""不显示工具的耐久度。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示工具的耐久度。"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,有部分对应信息，但仅按大类或密度预设控制；没有此字段的独立开关/详细度/资格条件。,应补常用项独立设置,/tmp/wildwise-research/insight/modinfo.lua,[display_finiteuses](/tmp/wildwise-research/insight/modinfo.lua:7634)
Insight,display_timers,计时器,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""关闭计时器。"", ""description"": ""否"", ""data"": false}, {""hover"": ""开启计时器。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_timers](/tmp/wildwise-research/insight/modinfo.lua:7644)
Insight,display_rechargeable,充能信息显示,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示充能信息。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示充能信息。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_rechargeable](/tmp/wildwise-research/insight/modinfo.lua:7653)
Insight,display_upgradeable,可升级物品显示,undefined；个人未另选时的回退值 false,false / true / undefined,"[{""hover"": ""不显示可升级的建筑等物品的信息。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示可升级的物品的信息，如蜘蛛巢等。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：否"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_upgradeable](/tmp/wildwise-research/insight/modinfo.lua:7662)
Insight,naughtiness_verbosity,淘气值,undefined；个人未另选时的回退值 2,0 / 1 / 2 / undefined,"[{""hover"": ""不显示淘气值。"", ""description"": ""禁用"", ""data"": 0}, {""hover"": ""显示击杀生物的淘气值。"", ""description"": ""生物的淘气值"", ""data"": 1}, {""hover"": ""同时显示玩家已有的淘气值和击杀生物的淘气值。"", ""description"": ""玩家/生物的淘气值"", ""data"": 2}, {""hover"": ""默认为：玩家/生物的淘气值"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[naughtiness_verbosity](/tmp/wildwise-research/insight/modinfo.lua:7671)
Insight,follower_info,随从信息,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示跟随者的信息。"", ""description"": ""禁用"", ""data"": false}, {""hover"": ""显示跟随者的信息。"", ""description"": ""启用"", ""data"": true}, {""hover"": ""默认为：启用"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,有部分对应信息，但仅按大类或密度预设控制；没有此字段的独立开关/详细度/资格条件。,应补常用项独立设置,/tmp/wildwise-research/insight/modinfo.lua,[follower_info](/tmp/wildwise-research/insight/modinfo.lua:7681)
Insight,herd_information,兽群信息,undefined；个人未另选时的回退值 false,false / true / undefined,"[{""hover"": ""不显示兽群的信息。"", ""description"": ""禁用"", ""data"": false}, {""hover"": ""显示兽群的信息。"", ""description"": ""启用"", ""data"": true}, {""hover"": ""默认为：禁用"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[herd_information](/tmp/wildwise-research/insight/modinfo.lua:7690)
Insight,domestication_information,牛驯服度,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示牛的驯服度信息。"", ""description"": ""禁用"", ""data"": false}, {""hover"": ""显示牛的驯服度信息。"", ""description"": ""启用"", ""data"": true}, {""hover"": ""默认为：启用"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,有部分对应信息，但仅按大类或密度预设控制；没有此字段的独立开关/详细度/资格条件。,应补常用项独立设置,/tmp/wildwise-research/insight/modinfo.lua,[domestication_information](/tmp/wildwise-research/insight/modinfo.lua:7699)
Insight,display_pollination,授粉信息,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示授粉信息。"", ""description"": ""禁用"", ""data"": false}, {""hover"": ""显示授粉信息。"", ""description"": ""启用"", ""data"": true}, {""hover"": ""默认为：启用"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_pollination](/tmp/wildwise-research/insight/modinfo.lua:7708)
Insight,item_worth,物品价值,undefined；个人未另选时的回退值 true,false / true / undefined,"[{""hover"": ""不显示物品的价值。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示物品值的价值。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：是"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[item_worth](/tmp/wildwise-research/insight/modinfo.lua:7717)
Insight,appeasement_value,蚁狮,undefined；个人未另选时的回退值 false,false / true / undefined,"[{""hover"": ""不显示蚁狮的信息。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示蚁狮的信息。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：否"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[appeasement_value](/tmp/wildwise-research/insight/modinfo.lua:7726)
Insight,fuel_verbosity,燃料,undefined；个人未另选时的回退值 2,0 / 1 / 2 / undefined,"[{""hover"": ""不显示燃料信息。"", ""description"": ""无"", ""data"": 0}, {""hover"": ""显示标准的燃料信息。"", ""description"": ""标准"", ""data"": 1}, {""hover"": ""显示全面的燃料信息。"", ""description"": ""全面"", ""data"": 2}, {""hover"": ""默认为：全面"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,有部分对应信息，但仅按大类或密度预设控制；没有此字段的独立开关/详细度/资格条件。,应补常用项独立设置,/tmp/wildwise-research/insight/modinfo.lua,[fuel_verbosity](/tmp/wildwise-research/insight/modinfo.lua:7735)
Insight,display_shelter_info,遮蔽处信息,undefined；个人未另选时的回退值 false,false / true / undefined,"[{""hover"": ""不显示遮蔽处信息。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示遮蔽处信息。"", ""description"": ""是"", ""data"": true}, {""hover"": ""默认为：否"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,未提供此项独立配置；具体信息是否部分覆盖见功能矩阵，不能由 schema 名称推定。,依功能矩阵优先级分批评估,/tmp/wildwise-research/insight/modinfo.lua,[display_shelter_info](/tmp/wildwise-research/insight/modinfo.lua:7745)
Insight,display_crafting_lookup_button,建造查看按钮,true,false / true,"[{""hover"": ""不显示按钮"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示按钮"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,HUD 菜单按钮固定显示；无制造查询按钮及其显示开关。,菜单按钮可隐藏应补；制造查询按需,/tmp/wildwise-research/insight/modinfo.lua,[display_crafting_lookup_button](/tmp/wildwise-research/insight/modinfo.lua:7766)
Insight,display_insight_menu_button,Insight 目录按钮,true,false / true,"[{""hover"": ""不显示按钮"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示按钮"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,HUD 菜单按钮固定显示；无制造查询按钮及其显示开关。,菜单按钮可隐藏应补；制造查询按需,/tmp/wildwise-research/insight/modinfo.lua,[display_insight_menu_button](/tmp/wildwise-research/insight/modinfo.lua:7776)
Insight,extended_info_indicator,更多信息提示,false,false / true,"[{""hover"": ""不显示星号"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示星号"", ""description"": ""是"", ""data"": true}]",true,{},个人优先,✅,❌,固定原生文本/单位/行数；检查键展开、3 档预设不能替代该独立配置。,信息开关、时间单位、截断提示优先；字体样式按需,/tmp/wildwise-research/insight/modinfo.lua,[extended_info_indicator](/tmp/wildwise-research/insight/modinfo.lua:7786)
Insight,info_preload,信息预载,undefined；个人未另选时的回退值 2,0 / 1 / 2 / undefined,"[{""hover"": ""严重帧数降低，不推荐"", ""description"": ""否"", ""data"": 0}, {""hover"": ""小幅帧数降低，不推荐。可用于小型简单的基地。"", ""description"": ""容器"", ""data"": 1}, {""hover"": ""最高帧率，推荐。"", ""description"": ""所有"", ""data"": 2}, {""hover"": ""默认为：所有"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,缓存/刷新由固定内部预算控制，无用户可配入口。,先做多人性能验收，暂不开放底层预算,/tmp/wildwise-research/insight/modinfo.lua,[info_preload](/tmp/wildwise-research/insight/modinfo.lua:7819)
Insight,refresh_delay,信息刷新延时,undefined；个人未另选时的回退值 true,true / 0 / 0.25 / 0.5 / 1 / 3 / undefined,"[{""hover"": ""基于玩家和游戏性能，动态更新。"", ""description"": ""自动设定"", ""data"": true}, {""hover"": ""信息实时更新。"", ""description"": ""实时"", ""data"": 0}, {""hover"": ""信息每0.25秒更新。"", ""description"": ""0.25秒"", ""data"": 0.25}, {""hover"": ""信息每0.5秒更新。"", ""description"": ""0.5秒"", ""data"": 0.5}, {""hover"": ""信息每1秒更新。"", ""description"": ""1秒"", ""data"": 1}, {""hover"": ""信息每3秒更新。"", ""description"": ""3秒"", ""data"": 3}, {""hover"": ""默认为：自动设定"", ""description"": ""默认"", ""data"": ""undefined""}]",—,"[""undefined""]",服主指定；undefined 时由个人选择,✅,❌,缓存/刷新由固定内部预算控制，无用户可配入口。,先做多人性能验收，暂不开放底层预算,/tmp/wildwise-research/insight/modinfo.lua,[refresh_delay](/tmp/wildwise-research/insight/modinfo.lua:7829)
Insight,crash_reporter,崩溃报告器,false,false / true,"[{""hover"": ""关闭崩溃报告器。"", ""description"": ""否"", ""data"": false}, {""hover"": ""开启崩溃报告器。"", ""description"": ""是"", ""data"": true}]",—,"[""independent"", ""dst_only""]",远程客户端/主机各用本端配置,✅,❌,diagnostics 仅本地日志；无自动上传。,可忽略自动上传,/tmp/wildwise-research/insight/modinfo.lua,[crash_reporter](/tmp/wildwise-research/insight/modinfo.lua:7844)
Insight,DEBUG_SHOW_NOTIMPLEMENTED,执行调试显示信息,false,false / true,"[{""hover"": ""未找出错误原因时，不发出警告。"", ""description"": ""否"", ""data"": false}, {""hover"": ""未找出错误原因时，发出警告。"", ""description"": ""是"", ""data"": true}]",true,"[""independent""]",个人优先,✅,❌,只有 diagnostics 和诊断页，不等价于各调试覆盖层。,按排错需要，非玩家必需,/tmp/wildwise-research/insight/modinfo.lua,[DEBUG_SHOW_NOTIMPLEMENTED](/tmp/wildwise-research/insight/modinfo.lua:7853)
Insight,DEBUG_SHOW_DISABLED,禁用调试显示,false,false / true,"[{""hover"": ""不显示已禁用的描述符的信息。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示已禁用的描述符的信息。"", ""description"": ""是"", ""data"": true}]",true,"[""independent""]",个人优先,✅,❌,只有 diagnostics 和诊断页，不等价于各调试覆盖层。,按排错需要，非玩家必需,/tmp/wildwise-research/insight/modinfo.lua,[DEBUG_SHOW_DISABLED](/tmp/wildwise-research/insight/modinfo.lua:7863)
Insight,DEBUG_SHOW_PREFAB,预设调试显示,false,false / true,"[{""hover"": ""不显示物品的预设名称。"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示物品的预设名称。"", ""description"": ""是"", ""data"": true}]",true,"[""independent""]",个人优先,✅,❌,只有 diagnostics 和诊断页，不等价于各调试覆盖层。,按排错需要，非玩家必需,/tmp/wildwise-research/insight/modinfo.lua,[DEBUG_SHOW_PREFAB](/tmp/wildwise-research/insight/modinfo.lua:7873)
Insight,DEBUG_ENABLED,开启调试功能,false,false / true,"[{""hover"": ""不显示调试信息"", ""description"": ""否"", ""data"": false}, {""hover"": ""显示调试信息"", ""description"": ""是"", ""data"": true}]",—,"[""independent""]",远程客户端/主机各用本端配置,✅,❌,只有 diagnostics 和诊断页，不等价于各调试覆盖层。,按排错需要，非玩家必需,/tmp/wildwise-research/insight/modinfo.lua,[DEBUG_ENABLED](/tmp/wildwise-research/insight/modinfo.lua:7883)
