类型,入口,有描述或挂接入口,配置引用,命名输出,信息语义键,来源,边界
descriptors,messagebottlemanager,✅,,,messagebottlemanager,/tmp/wildwise-research/insight/scripts/descriptors/messagebottlemanager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,mightiness,✅,,,mightiness,/tmp/wildwise-research/insight/scripts/descriptors/mightiness.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,mightydumbbell,✅,,,mightydumbbell.mightness_per_use,/tmp/wildwise-research/insight/scripts/descriptors/mightydumbbell.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,mightygym,✅,display_gyminfo,,"mightygym.hunger_drain,mightygym.mighty_gains,mightygym.weight",/tmp/wildwise-research/insight/scripts/descriptors/mightygym.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,mine,✅,display_attack_range,"insight_ranged,mine","mine.active,mine.beemine_bees,mine.inactive,mine.trap_starfish_cooldown",/tmp/wildwise-research/insight/scripts/descriptors/mine.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,moisture,✅,,,moisture,/tmp/wildwise-research/insight/scripts/descriptors/moisture.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,moonaltarlinktarget,✅,,"insight_ranged,moonaltarlinktarget",,/tmp/wildwise-research/insight/scripts/descriptors/moonaltarlinktarget.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,moonstormmanager,✅,,,moonstormmanager.storm_move,/tmp/wildwise-research/insight/scripts/descriptors/moonstormmanager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,nightmareclock,✅,nightmareclock_display,,"nightmareclock.announce_phase,nightmareclock.announce_phase_locked,nightmareclock.phase_info,nightmareclock.phase_locked,nightmareclock.phases",/tmp/wildwise-research/insight/scripts/descriptors/nightmareclock.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,oar,✅,,,oar_force,/tmp/wildwise-research/insight/scripts/descriptors/oar.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,occupiable,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/occupiable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,occupier,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/occupier.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,oceanfishingrod,✅,,,"oceanfishingrod.battle.slack,oceanfishingrod.battle.tension,oceanfishingrod.hook.interest,oceanfishingrod.hook.num_interested",/tmp/wildwise-research/insight/scripts/descriptors/oceanfishingrod.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,oceanfishingtackle,✅,display_tackle_information,,"oceanfishingtackle.casting.bonus_accuracy,oceanfishingtackle.casting.bonus_distance,oceanfishingtackle.lure.charm,oceanfishingtackle.lure.stamina_drain,oceanfishingtackle.lure.time_of_day_modifier,oceanfishingtackle.lure.weather_modifier",/tmp/wildwise-research/insight/scripts/descriptors/oceanfishingtackle.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,oceanicemanager,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/oceanicemanager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,oceantrawler,✅,,oceantrawler_,,/tmp/wildwise-research/insight/scripts/descriptors/oceantrawler.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,oldager,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/oldager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,parryweapon,❌,,parryweapon_parryduration,,/tmp/wildwise-research/insight/scripts/descriptors/parryweapon.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,periodicthreat,✅,,,"worms_incoming,worms_incoming_danger",/tmp/wildwise-research/insight/scripts/descriptors/periodicthreat.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,perishable,✅,display_perishable,,"perishable,perishable.paused,perishable.rot,perishable.transition,perishable.transition_extended",/tmp/wildwise-research/insight/scripts/descriptors/perishable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,petrifiable,✅,,,petrify,/tmp/wildwise-research/insight/scripts/descriptors/petrifiable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,pickable,✅,display_pickable,,"lang.pickable.regrowth,pickable.cycles,pickable.mushroom_rain,pickable.regrowth,pickable.regrowth_paused",/tmp/wildwise-research/insight/scripts/descriptors/pickable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,planardamage,✅,"display_mob_attack_damage,weapon_damage","planardamage,planardamage_scrapbook","planardamage.additional_damage,planardamage.planar_damage",/tmp/wildwise-research/insight/scripts/descriptors/planardamage.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,planardefense,✅,armor,,"planardefense.additional_defense,planardefense.planar_defense",/tmp/wildwise-research/insight/scripts/descriptors/planardefense.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,planarentity,❌,,,,/tmp/wildwise-research/insight/scripts/descriptors/planarentity.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,pocketwatch,✅,,,oldager.age_change,/tmp/wildwise-research/insight/scripts/descriptors/pocketwatch.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,poisonable,✅,,,poisonable.remaining_time,/tmp/wildwise-research/insight/scripts/descriptors/poisonable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,pollinator,✅,display_pollination,,pollination,/tmp/wildwise-research/insight/scripts/descriptors/pollinator.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,powerload,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/powerload.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,preservative,✅,,,preservative,/tmp/wildwise-research/insight/scripts/descriptors/preservative.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,preserver,✅,,,"preserver.freshness_rate,preserver.spoilage_rate",/tmp/wildwise-research/insight/scripts/descriptors/preserver.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,propagator,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/propagator.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,quaker,✅,,,quaker.next_quake,/tmp/wildwise-research/insight/scripts/descriptors/quaker.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,questowner,✅,pipspook_indicator,,"questowner.pipspook.assisted_by,questowner.pipspook.toys_remaining",/tmp/wildwise-research/insight/scripts/descriptors/questowner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,rabbitkingmanager,✅,display_rabbitking_information,"rabbitkingmanager,rabbitkingmanager.carrotsfed","cooldown,rabbitkingmanager.carrots,rabbitkingmanager.king_status,rabbitkingmanager.naughtiness",/tmp/wildwise-research/insight/scripts/descriptors/rabbitkingmanager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,recallmark,✅,,,recallmark.shard_type,/tmp/wildwise-research/insight/scripts/descriptors/recallmark.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,rechargeable,✅,display_rechargeable,,"rechargeable.charge,rechargeable.charged_in",/tmp/wildwise-research/insight/scripts/descriptors/rechargeable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,reloaditem,✅,,,"planardamage.planar_damage,weapon_damage,weapon_damage_type.normal",/tmp/wildwise-research/insight/scripts/descriptors/reloaditem.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,repairable,✅,repair_values,,"repairable.chess,repairer.held_repair",/tmp/wildwise-research/insight/scripts/descriptors/repairable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,repairer,✅,repair_values,,"repairer.health2,repairer.materials,repairer.perish2,repairer.type,repairer.work2",/tmp/wildwise-research/insight/scripts/descriptors/repairer.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,riftspawner,✅,,"riftspawner_,riftspawner_riftspawn","riftspawner.announce_spawn,riftspawner.next_spawn",/tmp/wildwise-research/insight/scripts/descriptors/riftspawner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,rocmanager,✅,,,rocmanager.cant_spawn,/tmp/wildwise-research/insight/scripts/descriptors/rocmanager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,saddler,✅,,,"saddler.absorption,saddler.bonus_damage,saddler.bonus_speed",/tmp/wildwise-research/insight/scripts/descriptors/saddler.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,sanity,✅,display_sanity,,"sanity.current_enlightenment,sanity.current_sanity",/tmp/wildwise-research/insight/scripts/descriptors/sanity.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,sanityaura,✅,display_sanityaura,sanityaura,sanityaura.aura_value,/tmp/wildwise-research/insight/scripts/descriptors/sanityaura.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,scenariorunner,✅,,,scenariorunner.chest_labyrinth,/tmp/wildwise-research/insight/scripts/descriptors/scenariorunner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,setbonus,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/setbonus.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,sewing,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/sewing.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,shadowlevel,✅,,,"shadowlevel.damage_boost,shadowlevel.level,shadowlevel.level_diff,shadowlevel.total_shadow_level",/tmp/wildwise-research/insight/scripts/descriptors/shadowlevel.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,shadowparasitemanager,✅,,,shadowparasitemanager.num_waves,/tmp/wildwise-research/insight/scripts/descriptors/shadowparasitemanager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,shadowsubmissive,✅,,,"shadowsubmissive.shadowcreature.sanity_reward,shadowsubmissive.shadowcreature.spawned_for",/tmp/wildwise-research/insight/scripts/descriptors/shadowsubmissive.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,shadowthrall_mimics,✅,display_itemmimic_information,"shadowthrall_mimics,shadowthrall_mimics.spawning.","shadowthrall_mimics.mimic_count,shadowthrall_mimics.next_spawn",/tmp/wildwise-research/insight/scripts/descriptors/shadowthrall_mimics.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,shadowthrallmanager,✅,display_shadowthrall_information,,"shadowthrallmanager.dreadstone_regen,shadowthrallmanager.fissure_cooldown,shadowthrallmanager.thrall_count,shadowthrallmanager.thralls_alive,shadowthrallmanager.waiting_for_players",/tmp/wildwise-research/insight/scripts/descriptors/shadowthrallmanager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,sharkboimanager,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/sharkboimanager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,singable,✅,,,"singable.battlesong.battlesong_durability,singable.battlesong.battlesong_fireresistance,singable.battlesong.battlesong_healthgain,singable.battlesong.battlesong_instant_panic,singable.battlesong.battlesong_instant_revive,singable.battlesong.battlesong_instant_taunt,singable.battlesong.battlesong_lunaraligned,singable.battlesong.battlesong_sanityaura,singable.battlesong.battlesong_sanitygain,singable.battlesong.battlesong_shadowaligned,singable.cooldown,singable.cost",/tmp/wildwise-research/insight/scripts/descriptors/singable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,sinkholespawner,❌,,,antlion_rage,/tmp/wildwise-research/insight/scripts/descriptors/sinkholespawner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,skinner_beefalo,✅,display_yotb_appraisal,,skinner_beefalo,/tmp/wildwise-research/insight/scripts/descriptors/skinner_beefalo.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,sleeper,✅,,,sleeper.wakeup_time,/tmp/wildwise-research/insight/scripts/descriptors/sleeper.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,slingshotmods,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/slingshotmods.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,soul,✅,,"insight_ranged,soul","wortox_soul_heal,wortox_soul_heal_range",/tmp/wildwise-research/insight/scripts/descriptors/soul.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,spawner,✅,display_spawner_information,,"spawner.child,spawner.next,spawner.occupied",/tmp/wildwise-research/insight/scripts/descriptors/spawner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,spellbook,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/spellbook.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,spellcaster,✅,,insight_ranged,,/tmp/wildwise-research/insight/scripts/descriptors/spellcaster.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,stageactingprop,✅,,,cooldown,/tmp/wildwise-research/insight/scripts/descriptors/stageactingprop.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,stewer,✅,stewer_chef,??,"lang.stewer.cooktime_remaining,lang.stewer.product,stewer.cooker,stewer.cooktime_modifier_faster,stewer.cooktime_modifier_slower,stewer.cooktime_remaining,stewer.product",/tmp/wildwise-research/insight/scripts/descriptors/stewer.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,stickable,✅,,,stickable,/tmp/wildwise-research/insight/scripts/descriptors/stickable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,teacher,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/teacher.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,temperature,✅,,"temperature,temperature-localPlayer","edible_foodeffect.temperature,temperature",/tmp/wildwise-research/insight/scripts/descriptors/temperature.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,tigersharker,✅,,,"tigershark_exists,tigershark_spawnin,tigershark_waiting",/tmp/wildwise-research/insight/scripts/descriptors/tigersharker.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,timer,✅,display_timers,,"timer.label,timer.paused",/tmp/wildwise-research/insight/scripts/descriptors/timer.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,toadstoolspawner,❌,,,toadstoolspawner.time_to_respawn,/tmp/wildwise-research/insight/scripts/descriptors/toadstoolspawner.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,tool,✅,,,"action_efficiency,tool_efficiency",/tmp/wildwise-research/insight/scripts/descriptors/tool.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,tradable,✅,"appeasement_value,item_worth",,"tradable_gold,tradable_gold_dubloons,tradable_rocktribute",/tmp/wildwise-research/insight/scripts/descriptors/tradable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,trap,✅,display_attack_range,insight_ranged,,/tmp/wildwise-research/insight/scripts/descriptors/trap.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,unwrappable,✅,display_unwrappable,"<prefab=,?",,/tmp/wildwise-research/insight/scripts/descriptors/unwrappable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,upgradeable,✅,display_upgradeable,,"upgradeable_complete,upgradeable_incomplete,upgradeable_stage",/tmp/wildwise-research/insight/scripts/descriptors/upgradeable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,upgrademodule,✅,,"bee,cold,heat,maxhealth,maxhealth2,maxhunger,maxhunger1,maxsanity,maxsanity1,movespeed,music,radar,taser,upgrademodule_","dapperness,followers,hunger_slow,sanity.dapperness_mult,sanityaura.negative_aura_modifier,upgrademodule.module_describers.bee,upgrademodule.module_describers.bee_shield,upgrademodule.module_describers.bee_shield_regen,upgrademodule.module_describers.cold,upgrademodule.module_describers.heat,upgrademodule.module_describers.heat_drying,upgrademodule.module_describers.maxhealth,upgrademodule.module_describers.maxhealth_armor,upgrademodule.module_describers.maxhunger,upgrademodule.module_describers.maxsanity,upgrademodule.module_describers.movespeed,upgrademodule.module_describers.music,upgrademodule.module_describers.music_tend,upgrademodule.module_describers.radar,upgrademodule.module_describers.taser,weapon_damage_type.electric",/tmp/wildwise-research/insight/scripts/descriptors/upgrademodule.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,volcanomanager,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/volcanomanager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,volcanometer,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/volcanometer.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,wagpunk_manager,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/wagpunk_manager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,waterproofer,✅,,,waterproofness,/tmp/wildwise-research/insight/scripts/descriptors/waterproofer.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,watersource,✅,,,watersource,/tmp/wildwise-research/insight/scripts/descriptors/watersource.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,wateryprotection,✅,,,wateryprotection.wetness,/tmp/wildwise-research/insight/scripts/descriptors/wateryprotection.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,weapon,✅,weapon_damage,"weapon,weapon_yotr","attack_range,combat.yotr_pillows.knockback,combat.yotr_pillows.laglength,combat.yotr_pillows.prize_value,time_seconds,weapon_damage,weapon_damage_type,weapon_damage_type.normal",/tmp/wildwise-research/insight/scripts/descriptors/weapon.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,weather,✅,"display_weather,weather_detail",,"weather.progress_to_hail,weather.progress_to_rain,weather.remaining_hail,weather.remaining_rain",/tmp/wildwise-research/insight/scripts/descriptors/weather.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,weighable,✅,display_weighable,,"weighable.owner_name,weighable.weight,weighable.weight_bounded",/tmp/wildwise-research/insight/scripts/descriptors/weighable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,werebeast,✅,,,werebeast,/tmp/wildwise-research/insight/scripts/descriptors/werebeast.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,wereness,✅,,,wereness_remaining,/tmp/wildwise-research/insight/scripts/descriptors/wereness.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,whalehunter,✅,hunt_indicator,,,/tmp/wildwise-research/insight/scripts/descriptors/whalehunter.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,winch,✅,,,"winch.not_winch,winch.sunken_item",/tmp/wildwise-research/insight/scripts/descriptors/winch.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,wintersfeasttable,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/wintersfeasttable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,wintertreegiftable,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/wintertreegiftable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,witherable,✅,,,"witherable.delay,witherable.rejuvenate,witherable.wither",/tmp/wildwise-research/insight/scripts/descriptors/witherable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,workable,✅,,,"workable.treeguard_chance,workable.treeguard_chance_dst",/tmp/wildwise-research/insight/scripts/descriptors/workable.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,worldmigrator,✅,display_worldmigrator,,"worldmigrator.disabled,worldmigrator.id,worldmigrator.received_portal,worldmigrator.target_shard",/tmp/wildwise-research/insight/scripts/descriptors/worldmigrator.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,worldsettingstimer,✅,display_timers,,"worldsettingstimer.label,worldsettingstimer.paused",/tmp/wildwise-research/insight/scripts/descriptors/worldsettingstimer.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,yotb_sewer,✅,,,yotb_sewer,/tmp/wildwise-research/insight/scripts/descriptors/yotb_sewer.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,yotb_stager,✅,display_yotb_winners,,,/tmp/wildwise-research/insight/scripts/descriptors/yotb_stager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
descriptors,yotd_raceprizemanager,✅,,,,/tmp/wildwise-research/insight/scripts/descriptors/yotd_raceprizemanager.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
prefab_descriptors,alterguardianhat,✅,,,"alterguardianhat.minimum_sanity,alterguardianhat.summoned_gestalt_damage",/tmp/wildwise-research/insight/scripts/prefab_descriptors/alterguardianhat.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
prefab_descriptors,ancienttree_seed,✅,,,"ancienttree_seed.fruit_regen_time,ancienttree_seed.fruit_regen_time_bounded,ancienttree_seed.type",/tmp/wildwise-research/insight/scripts/prefab_descriptors/ancienttree_seed.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
prefab_descriptors,antlionhat,✅,,antlionhat_,,/tmp/wildwise-research/insight/scripts/prefab_descriptors/antlionhat.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
prefab_descriptors,archive_lockbox,✅,,,archive_lockbox_unlocks,/tmp/wildwise-research/insight/scripts/prefab_descriptors/archive_lockbox.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
prefab_descriptors,archive_orchestrina_main,✅,orchestrina_indicator,,,/tmp/wildwise-research/insight/scripts/prefab_descriptors/archive_orchestrina_main.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
prefab_descriptors,armordreadstone,✅,,,"armordreadstone.regen,armordreadstone.regen_complete",/tmp/wildwise-research/insight/scripts/prefab_descriptors/armordreadstone.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
prefab_descriptors,atrium_gate,❌,,,atrium_gate.cooldown,/tmp/wildwise-research/insight/scripts/prefab_descriptors/atrium_gate.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
prefab_descriptors,basefan,✅,,insight_ranged,,/tmp/wildwise-research/insight/scripts/prefab_descriptors/basefan.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
prefab_descriptors,batbat,✅,,,"batbat.health_restore,batbat.sanity_cost",/tmp/wildwise-research/insight/scripts/prefab_descriptors/batbat.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
prefab_descriptors,batnosehat,✅,,,,/tmp/wildwise-research/insight/scripts/prefab_descriptors/batnosehat.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
prefab_descriptors,beef_bell,✅,,,beef_bell.beefalo_name,/tmp/wildwise-research/insight/scripts/prefab_descriptors/beef_bell.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
prefab_descriptors,beequeenhive,❌,,,beequeenhive.time_to_respawn,/tmp/wildwise-research/insight/scripts/prefab_descriptors/beequeenhive.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
prefab_descriptors,canary,✅,,,"canary.gas_level,canary.gas_level_decrease,canary.gas_level_increase,canary.poison_chance",/tmp/wildwise-research/insight/scripts/prefab_descriptors/canary.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
prefab_descriptors,carnivaldecor_figure,✅,,,,/tmp/wildwise-research/insight/scripts/prefab_descriptors/carnivaldecor_figure.lua,静态入口索引；需组件/游戏分支/配置满足。不是同数量的独立功能，也不宣称本次实机验证。
